Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",69,64,ALEKSEI SHCHERVIANIN,M,RUS,22   72. | 33   50. [61.73],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1384,65,VOJTECH TROJAN,M,CZE,23+  64. | 31+  57. [63.73],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",948,66,ALESSANDRO ZENI,M,ITA,21+  77. | 32+  54. [65.08],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3141,67,FELIPE HO FOGANHOLO,M,BRA,23   68. | 31+  57. [65.17],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",788,68,ÀLEX HERNÁNDEZ CASTILLA,M,ESP,22+  70. | 31+  57. [66.11],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",923,69,MATTEO MANZONI,M,ITA,24+  61. | 28+  74. [67.69],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",312,70,SÉBASTIEN BERTHE,M,BEL,22   72. | 31+  57. [67.73],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3211,70,CARLOS GRANJA,M,ECU,22   72. | 31+  57. [67.73],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3776,72,LARS HOFFMANN,M,GER,24+  61. | 27+  76. [68.81],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1502,73,MYKHAYIL TKACHUK,M,UKR,22+  70. | 29   70. [71.00],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1754,74,JOHN BROSLER,M,USA,23+  64. | 27+  76. [71.02],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3222,74,GALO HERNANDEZ,M,ECU,23+  64. | 27+  76. [71.02],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",893,76,GIORGIO BENDAZZOLI,M,ITA,22   72. | 31   68. [71.20],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2687,77,KRISTOFFER LINDBÄCK,M,SWE,23   68. | 24   80. [74.03],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3136,78,CESAR GROSSO,M,BRA,8   93. | 31+  57. [76.14],,
